,Code,name,latitude,longitude,density
117,6125,Ellendale / de la Côte-des-Neiges,45.499757,-73.629298,9
118,6126,Fullum / de Rouen,45.53213680524969,-73.55871319770813,28
119,6127,de Gaspé / Jean-Talon,45.536582447959766,-73.61622512340546,27
120,6128,Hogan / Ontario,45.53529548038031,-73.55116009712219,17
121,6129,de Bordeaux / Sherbrooke,45.52997069129102,-73.56305301189423,35
122,6130,Sherbrooke / Frontenac,45.5367,-73.56081,24
123,6131,Fullum / Sherbrooke,45.533924,-73.562425,27
124,6132,Larivière / de Lorimier,45.5291345371163,-73.55923354625702,33
125,6133,Chapleau / Terrasse Mercure,45.53673838509649,-73.56516659259796,29
126,6134,Bercy / Rachel,45.53840340979245,-73.56196403503418,25
127,6136,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,39
128,6137,Cartier / Gauthier,45.53034708827074,-73.56698781251907,36
129,6138,Gauthier / de Lorimier,45.53167355364312,-73.56541335582732,33
130,6139,Gauthier / Parthenais,45.53292625574653,-73.56377989053726,31
131,6140,Marquette / Rachel,45.5298015824607,-73.5702896118164,39
132,6141,des Érables / Rachel,45.53354753725336,-73.5668671131134,32
133,6142,Calixa-Lavallée / Rachel,45.527794785525096,-73.57193917036057,44
134,6143,Rachel / de Brébeuf,45.52689,-73.57264,43
135,6145,du Parc-La Fontaine / Duluth,45.52451761488783,-73.57197672128677,43
136,6146,du Parc-La Fontaine / Roy,45.52317047138824,-73.56901288032532,40
137,6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,40
138,6148,Émile-Duployé / Sherbrooke,45.52720058937288,-73.56472939252852,34
139,6149,Chapleau / du Mont-Royal,45.53867,-73.56936,25
140,6150,Messier / du Mont-Royal,45.53711414,-73.5710031,31
141,6151,Parthenais / du Mont-Royal,45.53646917409483,-73.57146307826042,35
142,6152,Chabot / du Mont-Royal,45.53418509490266,-73.57358872890472,37
143,6153,Cartier / Marie-Anne,45.532674,-73.571776,38
144,6154,Marquette / du Mont-Royal,45.53229,-73.57544,43
145,6155,Garnier / du Mont-Royal,45.53092,-73.57674,45
146,6156,Marie-Anne / de la Roche,45.52775814390426,-73.57618510723114,46
147,6157,de Brébeuf / du Mont-Royal,45.52940777616881,-73.57815384864807,42
148,6158,Gilford / de Brébeuf,45.53081622781595,-73.58162596821785,40
149,6159,Ann / Wellington,45.49452705626516,-73.55675250291823,27
150,6160,Garnier / St-Joseph,45.5329774553515,-73.58122229576111,40
151,6161,Cartier / St-Joseph,45.53582823686429,-73.57869029045105,34
152,6162,Legendre / Henri-Julien,45.54612387708119,-73.64664673805237,27
153,6163,Marquette / Laurier,45.53543,-73.5822,35
154,6164,de Lanaudière / Laurier,45.5333136054992,-73.58373686671257,36
155,6165,Laurier / de Brébeuf,45.53251395631143,-73.58481109142303,36
156,6166,Gerry-Boulet / St-Grégoire,45.5337352275406,-73.589306473732,33
157,6167,Marquette / St-Grégoire,45.53703,-73.58584,29
158,6168,Marmier / St-Denis,45.530871318676006,-73.59834551811218,31
159,6169,Boyer / du Mont-Royal,45.527432126380575,-73.57991673052311,44
160,6170,de Mentana / Laurier,45.53045006508681,-73.58763813972473,43
161,6171,Wolfe / Robin,45.51958082831579,-73.5601159930229,34
162,6173,Berri / Cherrier,45.51908844137639,-73.56950908899307,49
163,6174,Roy / St-Denis,45.51908,-73.5727,42
164,6175,St-Christophe / Cherrier,45.52027785033668,-73.5682162642479,43
165,6176,de Mentana / Rachel,45.52496323980324,-73.57555881142616,44
166,6177,St-Hubert / Duluth,45.52242565278864,-73.57418417930603,46
167,6178,Rivard / Rachel,45.5222776,-73.5775906,45
168,6179,Duluth / St-Denis,45.52060423232697,-73.57598394155502,47
169,6180,St-Dominique / René-Lévesque,45.5094183667176,-73.56135785579681,41
170,6181,Clark / Rachel,45.5173538,-73.58212888,36
171,6182,de Bullion / du Mont-Royal,45.52175120848515,-73.58526840806007,43
172,6183,Laval / du Mont-Royal,45.5223645775784,-73.58414590358734,46
173,6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,48
174,6185,des Érables / Bélanger,45.54912085535069,-73.60087350010872,19
175,6186,St-Hubert / Laurier,45.52931012171625,-73.58865737915039,41
176,6187,Resther / du Mont-Royal,45.52562819123256,-73.58177483081818,46
177,6188,de Mentana / Marie-Anne,45.52602656522141,-73.57785880565643,47
178,6189,Chabot / Everett,45.55072306022627,-73.60957056283951,13
179,6190,Pontiac / Gilford,45.527009334270645,-73.58576595783234,45
180,6191,St-Zotique / Clark,45.531401,-73.612674,26
181,6192,Berri / St-Grégoire,45.52996959525513,-73.5919028520584,38
182,6193,de l'Esplanade / Fairmount,45.521495,-73.596758,27
183,6194,Métro Atwater (Atwater / Ste-Catherine),45.48947622882084,-73.58456566929817,19
184,6195,de Bullion / St-Joseph,45.5240365462478,-73.59014332294464,40
185,6196,Villeneuve / St-Laurent,45.52134173413233,-73.58941912651062,38
186,6197,de Bordeaux / Masson,45.53898439552301,-73.5824453830719,28
187,6198,Hélène-Baillargeon / St-Denis,45.52974,-73.59527,36
188,6199,St-Viateur / St-Laurent,45.52593073022709,-73.59883904457092,30
189,6200,Maguire / St-Laurent,45.52462848559264,-73.5958108305931,36
190,6201,Villeneuve / de l'Hôtel-de-Ville,45.52354419830203,-73.58733236789703,44
191,6202,Ste-Famille / Sherbrooke,45.51007154847701,-73.57075229287146,48
192,6203,Aylmer / Sherbrooke,45.50658668914343,-73.57329905033112,47
193,6204,Milton / Durocher,45.508140959417744,-73.57492983341217,42
194,6205,Milton / du Parc,45.50936142835129,-73.57386365532875,41
195,6206,Prince-Arthur / du Parc,45.51059,-73.57547,38
196,6207,Ste-Famille / des Pins,45.51283174510449,-73.57688784599304,36
197,6208,Hutchison / des Pins,45.51069,-73.57805,30
198,6209,Milton / Clark,45.51254135285248,-73.57067719101906,46
199,6210,Métro Sauvé (Berri / Sauvé),45.55069206841976,-73.65636706352234,3
200,6211,Roy / St-Laurent,45.515616239398405,-73.57580825686453,42
201,6212,Duluth / de l'Esplanade,45.51509198406273,-73.58114182949066,38
202,6213,Duluth / St-Laurent,45.51687640567004,-73.57946008443832,45
203,6214,Square St-Louis (du Square St-Louis / Laval),45.516090801970655,-73.5701286792755,48
204,6215,Metcalfe / St-Catherine,45.50083231626815,-73.57245951890945,42
205,6216,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.51483985896893,-73.58477890491486,31
206,6217,Vallières / St-Laurent,45.51896722332005,-73.5836161673069,36
207,6218,Prince-Arthur / St-Urbain,45.51258740220925,-73.57373893260956,41
208,6219,de l'Hôtel-de-Ville / Roy,45.51740076184449,-73.57460528612137,43
209,6220,Laval / Duluth,45.519216236873945,-73.57718020677567,45
210,6221,du Mont-Royal / Clark,45.51941,-73.58685,37
211,6222,de l'Esplanade / du Mont-Royal,45.51825290855221,-73.5883381962776,27
212,6223,du Mont-Royal / du Parc,45.517,-73.589,26
213,6224,Villeneuve / du Parc,45.51829,-73.59235,25
214,6225,Villeneuve / St-Urbain,45.520188,-73.590559,32
215,6227,de l'Esplanade / Laurier,45.52103885732127,-73.59490692615509,29
216,6228,Waverly / Van Horne,45.527363,-73.607723,27
217,6229,Coloniale / du Mont-Royal,45.5211613236904,-73.5856157541275,41
218,6230,Waverly / St-Viateur,45.5238561444472,-73.60012650489807,27
219,6231,Jeanne-Mance / St-Viateur,45.523026476635074,-73.60184043645859,24
220,6232,Durocher / Van Horne,45.524265806034656,-73.61127376556396,19
221,6233,Bernard / Jeanne-Mance,45.5242864769531,-73.60497325658798,24
222,6234,de l'Arcade / Clark,45.527410360532215,-73.60393524169922,29
223,6235,St-Dominique / St-Viateur,45.52655700191558,-73.5982757806778,31
224,6236,Laurier / de Bordeaux,45.5376492623372,-73.57978463172913,28
225,6237,Gilford / de Lanaudière,45.53200800170645,-73.58044445514679,41
226,6240,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,4
227,6241,Querbes / Laurier,45.51753998795678,-73.59783187508583,19
228,6243,Bloomfield / Bernard,45.52068774,-73.6084279,15
229,6245,Bloomfield / Van Horne,45.5225858,-73.61265779,15
230,6246,Métro Outremont (Wiseman / Van Horne),45.52027053865367,-73.61484915018082,11
231,6247,St-Dominique / St-Zotique,45.53226461018495,-73.6110632121563,26
232,6248,St-Dominique / Rachel,45.518593,-73.581566,41
233,6249,Bélanger / St-Denis,45.53696,-73.61199,28
234,6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925,29
235,6251,Dante / de Gaspé,45.53441493337628,-73.6123164743185,25
236,6252,Mozart / St-Laurent,45.53318,-73.61544,27
237,6253,Métro Jean-Talon (de Chateaubriand / Jean-Talon),45.540138286478616,-73.61402839422226,29
238,6254,Boyer / Bélanger,45.54006,-73.60897,28
239,6255,Boyer / St-Zotique,45.53848,-73.60556,29
240,6257,de St-Vallier / St-Zotique,45.53626117851967,-73.60754549503326,31
241,6258,Parc Père-Marquette (Chambord / Rosemont),45.53708783301333,-73.59321847558022,29
242,6259,Dandurand / de Lorimier,45.540881,-73.584157,23
243,6260,Cartier / Dandurand,45.53923559055867,-73.58594566583633,27
244,6261,Louis-Hémon / Rosemont,45.54459855947176,-73.58822286128998,21
245,6262,de la Roche /  de Bellechasse,45.53715922533132,-73.59747648239136,28
246,6263,de Hampton / de Monkland,45.47117930747152,-73.6270022392273,6
247,6264,Chabot / de Bellechasse,45.5425697477813,-73.59214425086974,24
248,6265,Parthenais / Laurier,45.539258526059406,-73.5774591565132,27
249,6266,Louis-Hébert / de Bellechasse,45.546661109634606,-73.58868420124054,21
250,6267,Chabot / Beaubien,45.54437554639807,-73.59564453363419,22
251,6268,Chambord / Beaubien,45.539932183126695,-73.59934329986572,20
252,6269,Wurtele / de Rouen,45.5376278134876,-73.5533943772316,16
253,6270,Fabre / St-Zotique,45.54345172630376,-73.60101029276848,24
254,6271,St-Jean-Baptiste / Notre-Dame,45.640002860465096,-73.49011301994324,33
255,6272,de Bordeaux / St-Zotique,45.546539011777845,-73.59866470098495,21
256,6273,Cartier / Bélanger,45.546797412794085,-73.60266387462616,22
257,6274,de la Roche / St-Joseph,45.531164,-73.583695,41
258,6275,Chambord / Jean-Talon,45.54484558108033,-73.61053615808486,23
259,6276,de la Roche / Bélanger,45.54166959576632,-73.60760450363159,24
260,6277,Louis-Hébert / Beaubien,45.5481863712796,-73.592010140419,20
261,6278,Louis-Hébert / St-Zotique,45.55001,-73.59576,19
262,6279,Louis-Hébert / Bélanger,45.55158518908433,-73.59916493296623,18
263,6280,Casgrain / Laurier,45.52437479806464,-73.5918103158474,37
264,6281,Resther / St-Joseph,45.52769780849099,-73.58625277876854,41
265,6301,Parc Outremont (Bloomfield / Elmwood),45.518309446368,-73.60328614711761,18
266,6302,Stuart / St-Viateur,45.516078703024085,-73.60779762268066,10
267,6303,Pratt / Van Horne,45.51414486304299,-73.6203020811081,7
268,6304,Rockland / Lajoie,45.515617,-73.614991,10
269,6305,Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871,9
270,6306,Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.510086,-73.611429,6
271,6307,Laval / Rachel,45.52017845247635,-73.57942387461662,45
272,6309,4e avenue / de Verdun,45.4568844514464,-73.57260704040527,6
273,6310,de Soissons / de Darlington,45.50687644639119,-73.62359181046486,8
274,6311,Drolet / St-Zotique,45.53488214147823,-73.60941231250763,28
275,6312,de Kent / de la Côte-des-Neiges,45.50144933057703,-73.63305062055588,5
276,6313,Palm / St-Remi,45.470303,-73.589848,3
277,6314,de Lanaudière / Marie-Anne,45.52932643090091,-73.57480645179749,47
278,6315,Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.49626477461565,-73.62154394388199,7
279,6316,Swail / Decelles,45.49705494399436,-73.61865252256392,5
280,6321,Gary-Carter / St-Laurent,45.53589982664126,-73.62244248390198,22
281,6322,St-Dominique / Gounod,45.53873794947064,-73.62802147865295,18
282,6323,Guizot / St-Laurent,45.53966322230556,-73.63447487354279,11
283,6324,de Liège / Lajeunesse,45.54560354555274,-73.63474041223526,11
284,6327,Drolet / Faillon,45.53926979810152,-73.6208787560463,22
285,6328,De Gaspé / Villeray,45.53893805473212,-73.62429320812224,21
286,6329,Drolet / Gounod,45.54095134225734,-73.62637460231781,20
287,6330,de Gaspé / Jarry,45.540780049798,-73.63040059804916,17
288,6331,Guizot / St-Denis,45.543423548290185,-73.63246187567711,14
289,6332,de Gaspé / de Liège,45.54248521237199,-73.63634169101715,8
290,6333,Leman / de Chateaubriand,45.547218,-73.631103,14
291,6334,Métro Jarry (Lajeunesse / Jarry),45.54371190262865,-73.62828433513641,17
292,6335,du Rosaire / St-Hubert,45.54481928225348,-73.6215104162693,20
293,6336,Faillon / St-Hubert,45.54297175887712,-73.61793905496597,23
294,6338,de Chateaubriand / Jarry,45.54595481682399,-73.62699151039122,15
295,6339,Harvard / de Monkland,45.474565185029945,-73.62403571605682,8
296,6340,de la Roche / Everett,45.544867,-73.614841,21
297,6341,Regina / de Verdun,45.467369,-73.570769,4
298,6343,Marquette / Villeray,45.55068361610596,-73.61529305577278,11
299,6344,St-Dominique / Jean-Talon,45.53524809921431,-73.61756354570389,25
300,6345,Louis-Hémon / Villeray,45.55496126357668,-73.61073732376097,9
301,6346,Nicolet / Sherbrooke,45.54969542033443,-73.55464696884155,7
302,6347,Métro St-Michel (Shaughnessy / St-Michel),45.559199,-73.599658,6
