,Code,name,latitude,longitude,density,elevation_meters
170,6180,St-Dominique / René-Lévesque,45.5094183667176,-73.56135785579681,50,25
171,6181,Clark / Rachel,45.5173538,-73.58212888,39,66
172,6182,de Bullion / du Mont-Royal,45.52175120848515,-73.58526840806007,51,59
173,6183,Laval / du Mont-Royal,45.5223645775784,-73.58414590358734,53,59
174,6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,52,51
175,6185,des Érables / Bélanger,45.54912085535069,-73.60087350010872,19,56
176,6186,St-Hubert / Laurier,45.52931012171625,-73.58865737915039,47,59
177,6187,Resther / du Mont-Royal,45.52562819123256,-73.58177483081818,50,49
178,6188,de Mentana / Marie-Anne,45.52602656522141,-73.57785880565643,49,48
179,6189,Chabot / Everett,45.55072306022627,-73.60957056283951,15,54
180,6190,Pontiac / Gilford,45.527009334270645,-73.58576595783234,51,57
181,6191,St-Zotique / Clark,45.531401,-73.612674,31,60
182,6192,Berri / St-Grégoire,45.52996959525513,-73.5919028520584,45,69
183,6193,de l'Esplanade / Fairmount,45.521495,-73.596758,34,72
184,6194,Métro Atwater (Atwater / Ste-Catherine),45.48947622882084,-73.58456566929817,23,61
185,6195,de Bullion / St-Joseph,45.5240365462478,-73.59014332294464,49,69
186,6196,Villeneuve / St-Laurent,45.52134173413233,-73.58941912651062,46,62
187,6197,de Bordeaux / Masson,45.53898439552301,-73.5824453830719,29,55
188,6198,Hélène-Baillargeon / St-Denis,45.52974,-73.59527,43,70
189,6199,St-Viateur / St-Laurent,45.52593073022709,-73.59883904457092,38,74
190,6200,Maguire / St-Laurent,45.52462848559264,-73.5958108305931,45,66
191,6201,Villeneuve / de l'Hôtel-de-Ville,45.52354419830203,-73.58733236789703,54,61
192,6202,Ste-Famille / Sherbrooke,45.51007154847701,-73.57075229287146,58,42
193,6203,Aylmer / Sherbrooke,45.50658668914343,-73.57329905033112,57,54
194,6204,Milton / Durocher,45.508140959417744,-73.57492983341217,49,54
195,6205,Milton / du Parc,45.50936142835129,-73.57386365532875,50,48
196,6206,Prince-Arthur / du Parc,45.51059,-73.57547,45,49
197,6207,Ste-Famille / des Pins,45.51283174510449,-73.57688784599304,42,53
198,6208,Hutchison / des Pins,45.51069,-73.57805,36,51
199,6209,Milton / Clark,45.51254135285248,-73.57067719101906,55,51
200,6210,Métro Sauvé (Berri / Sauvé),45.55069206841976,-73.65636706352234,5,32
201,6211,Roy / St-Laurent,45.515616239398405,-73.57580825686453,45,50
202,6212,Duluth / de l'Esplanade,45.51509198406273,-73.58114182949066,42,61
203,6213,Duluth / St-Laurent,45.51687640567004,-73.57946008443832,47,58
204,6214,Square St-Louis (du Square St-Louis / Laval),45.516090801970655,-73.5701286792755,54,48
205,6215,Metcalfe / St-Catherine,45.50083231626815,-73.57245951890945,46,54
206,6216,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.51483985896893,-73.58477890491486,35,72
207,6217,Vallières / St-Laurent,45.51896722332005,-73.5836161673069,42,67
208,6218,Prince-Arthur / St-Urbain,45.51258740220925,-73.57373893260956,50,48
209,6219,de l'Hôtel-de-Ville / Roy,45.51740076184449,-73.57460528612137,48,47
210,6220,Laval / Duluth,45.519216236873945,-73.57718020677567,48,50
211,6221,du Mont-Royal / Clark,45.51941,-73.58685,44,69
212,6222,de l'Esplanade / du Mont-Royal,45.51825290855221,-73.5883381962776,31,69
213,6223,du Mont-Royal / du Parc,45.517,-73.589,28,69
214,6224,Villeneuve / du Parc,45.51829,-73.59235,29,72
215,6225,Villeneuve / St-Urbain,45.520188,-73.590559,39,66
216,6226,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.575707,-73.561562,2,40
217,6227,de l'Esplanade / Laurier,45.52103885732127,-73.59490692615509,38,69
218,6228,Waverly / Van Horne,45.527363,-73.607723,32,64
219,6229,Coloniale / du Mont-Royal,45.5211613236904,-73.5856157541275,48,60
220,6230,Waverly / St-Viateur,45.5238561444472,-73.60012650489807,40,75
221,6231,Jeanne-Mance / St-Viateur,45.523026476635074,-73.60184043645859,34,75
222,6232,Durocher / Van Horne,45.524265806034656,-73.61127376556396,23,70
223,6233,Bernard / Jeanne-Mance,45.5242864769531,-73.60497325658798,34,74
224,6234,de l'Arcade / Clark,45.527410360532215,-73.60393524169922,38,66
225,6235,St-Dominique / St-Viateur,45.52655700191558,-73.5982757806778,43,74
226,6236,Laurier / de Bordeaux,45.5376492623372,-73.57978463172913,32,56
227,6237,Gilford / de Lanaudière,45.53200800170645,-73.58044445514679,45,54
228,6240,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,7,79
229,6241,Querbes / Laurier,45.51753998795678,-73.59783187508583,29,78
230,6243,Bloomfield / Bernard,45.52068774,-73.6084279,20,76
231,6245,Bloomfield / Van Horne,45.5225858,-73.61265779,18,71
232,6246,Métro Outremont (Wiseman / Van Horne),45.52027053865367,-73.61484915018082,14,72
233,6247,St-Dominique / St-Zotique,45.53226461018495,-73.6110632121563,31,67
234,6248,St-Dominique / Rachel,45.518593,-73.581566,45,66
235,6249,Bélanger / St-Denis,45.53696,-73.61199,33,61
236,6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925,30,59
237,6251,Dante / de Gaspé,45.53441493337628,-73.6123164743185,30,62
